Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2016-12-28,230.01402282714844,234.363633634018,229.44430312080814,234.0020753988561,9637310
2016-12-29,233.46524047851562,234.19931286977828,229.97021628755195,230.0797895919845,8772325
2016-12-30,237.17938232421875,237.7491167005445,232.9503003639605,233.3228144939191,15711974
2017-01-02,237.77101135253906,238.84471556704645,234.97717751957185,237.52996765259263,7097888
2017-01-03,238.71322631835938,240.37857657270558,236.8945085569266,238.81184374637823,6434204
2017-01-04,233.83775329589844,239.50209777108125,233.21325421257254,239.48018603578305,10392483
2017-01-05,236.08375549316406,236.6315634816447,234.18834658159105,234.68137523395623,8734164
2017-01-06,235.54690551757812,237.74910798611037,235.1415237993049,235.38256750773473,7845839
2017-01-09,236.14950561523438,237.96823819847012,234.68139005993987,235.99612346442117,5228980
2017-01-10,238.81187438964844,239.80887301858223,236.65349522755614,236.65349522755614,11349916
2017-01-11,237.97918701171875,240.0937279659821,237.52998181318367,239.9403458197158,11475958
2017-01-12,237.3765869140625,238.92140804330162,236.609646969281,238.18733569952568,4371992
2017-01-13,238.932373046875,240.4881501026076,237.65049267666242,237.65049267666242,7234429
2017-01-16,235.83175659179688,239.71023575054647,235.32777210203164,238.83375179723862,12013154
2017-01-17,228.16246032714844,234.0240106094572,227.55987295964547,233.36664390193826,39234251
2017-01-18,226.25607299804688,229.64153848580435,225.4233978038085,228.45826090020353,15867619
2017-01-19,226.50807189941406,229.04990631766094,225.9164257947301,226.82579205961582,15284274
2017-01-20,224.7769775390625,227.32976772528664,224.36063995944215,226.56284239636582,8784907
2017-01-23,222.607666015625,225.91642579269003,221.9283875975284,223.90050227358637,13708502
2017-01-24,225.10565185546875,225.43432784660058,222.84867024640548,222.84867024640548,9419288
2017-01-25,222.91444396972656,226.28893893772917,222.66244438885136,226.13555679209082,23856654
2017-01-27,224.62359619140625,225.4562713535853,223.2869365105033,223.5608478179369,21861796
2017-01-30,228.9403533935547,229.30191168363982,224.557888947571,224.5907565532762,15678126
2017-01-31,229.0279998779297,230.912467777187,227.95429550574664,229.38955816728205,15125194
2017-02-01,230.00308227539062,230.2769935935583,226.8367487653081,229.22520104607534,11312284
2017-02-02,228.6554718017578,230.25507229179027,227.50507649336802,230.079778416935,9099129
2017-02-03,226.4971160888672,230.17838999238342,225.71922023490347,229.2032885216931,13219481
2017-02-06,228.25009155273438,228.9622375512274,226.1465065316754,227.23116664395107,9991907
2017-02-07,225.89453125,228.40349825639845,225.0837823590817,228.32680717741016,9905562
2017-02-08,224.63455200195312,227.5050769727125,223.94431774093013,225.89450598478214,16230826
2017-02-09,226.2998809814453,226.5737922806795,224.99610356850937,225.25904437354157,9861688
2017-02-10,225.73016357421875,226.91342646355918,224.7221945566841,226.7929119266927,12518554
2017-02-13,225.66444396972656,226.57381024722392,223.94432885176462,226.35467826499502,8565757
2017-02-14,230.0359344482422,230.71522745061657,225.67538240393077,226.79291008225553,18244623
2017-02-15,230.36463928222656,231.72321074339212,229.03893542378324,230.71524167192365,15236663
2017-02-16,233.9144287109375,234.3417221479759,230.63853673918584,230.63853673918584,19655195
2017-02-17,235.6674041748047,236.25905022501794,231.9313512782147,233.69530430761958,14847356
2017-02-20,235.64549255371094,236.40147660305124,233.6953044187673,234.58274423985887,11650581
2017-02-21,238.45030212402344,239.05288946422192,235.13057187818862,235.60168880830594,14186476
2017-02-22,264.5917663574219,265.5011180509392,239.28297929347514,239.50211128614956,127323130
2017-02-23,259.1684265136719,267.76903096665285,258.42339828626336,265.9283867599504,62249698
2017-02-27,271.4722595214844,275.3945481700876,260.8338041381545,260.8666571160054,83422197
2017-02-28,271.2860107421875,273.4663018144625,269.1933666220987,269.96030670838525,36111716
2017-03-01,270.5080871582031,272.6774073952574,269.5220298454828,271.7351735517845,24385665
2017-03-02,271.0010681152344,274.93432617917864,268.8755717215396,271.2530383917314,18063590
2017-03-03,275.77801513671875,282.18738823080196,272.0529321604447,272.0529321604447,84305639
2017-03-06,286.0329895019531,287.49016380859985,277.2461494453081,278.0678541617324,66724743
2017-03-07,285.9453430175781,290.77701239515955,284.0170517627637,288.9911620500106,42071555
2017-03-08,282.9324035644531,286.5479276923552,281.81487579730856,286.5479276923552,43336972
2017-03-09,281.957275390625,284.42241866995744,280.8068946967048,282.66945064716174,31094457
2017-03-10,280.83978271484375,283.98421941385106,276.3587007836864,282.724250635049,24785585
2017-03-14,282.55987548828125,289.02404227048964,281.62861209829543,288.9692483041829,27765035
2017-03-15,285.9453430175781,288.4323981612016,282.7571123301341,282.8995239851457,24107889
2017-03-16,284.345703125,287.1395220391734,283.4582341136873,287.05187511281883,15924023
2017-03-17,285.01409912109375,289.2322109317713,284.43342345681197,286.6136851945283,22727289
2017-03-20,280.6535339355469,286.2302317171409,280.1166817695777,286.1754377491358,12869337
2017-03-21,276.92840576171875,281.33278151653013,275.94234843179726,280.9602820214286,22596181
2017-03-22,276.0299987792969,277.3885556210907,273.1485324538092,274.34273665370296,20291685
2017-03-23,279.0100402832031,279.94130351873423,275.6574575297126,276.78592635286395,11807911
2017-03-24,281.957275390625,283.1076853391976,277.9473109398877,279.1853678268675,16282523
2017-03-27,274.1455383300781,280.2043234504644,273.2909513769059,278.5280025205822,32452615
2017-03-28,272.97320556640625,276.97219916212833,272.17338344354204,275.6574659498518,21707345
2017-03-29,275.3616638183594,276.0957215443711,270.2560834557331,274.2769890890697,18924345
2017-03-30,278.4294128417969,279.3278232618648,274.56188909207935,275.0001238069155,27862325
2017-03-31,289.4403381347656,293.1106558939095,277.4104453657711,277.4104453657711,45390562
2017-04-03,301.21826171875,302.5001421420652,292.9792150397799,294.06388984135134,44886623
2017-04-05,310.0599060058594,310.71728735471936,302.4125051940222,305.721265165486,40323877
2017-04-06,315.20928955078125,317.4881685029597,307.2551249531842,308.7451521897154,50620850
2017-04-07,308.2192077636719,314.22319803599214,307.33176796427006,311.4403494809205,31875272
2017-04-10,302.6863708496094,312.22917930830516,301.79890177437596,308.96424330249187,30768410
2017-04-11,300.71429443359375,306.8716677610684,300.22126574758386,304.1107012684822,32249647
2017-04-12,296.6933288574219,303.8039058521224,296.0688298197195,303.0040836901894,27448279
2017-04-13,299.0599060058594,300.944344498031,295.2361765465829,296.6933508273416,12713918
2017-04-17,304.9871826171875,305.79794605557015,299.10372095088104,299.10372095088104,11837502
2017-04-18,300.2431640625,308.96426861459565,299.5419592890634,306.7620953689361,16016414
2017-04-19,299.9364013671875,302.94936762563344,297.47125779378837,299.9802248416188,11572557
2017-04-20,300.1007080078125,303.88058448922004,298.90647463069365,302.1714399938152,8393496
2017-04-21,307.3208923339844,311.3746807571274,302.0728703448234,302.500163849925,30230907
2017-04-24,310.5857849121094,314.4423671524225,306.8168496086532,308.75608196859093,25512511
2017-04-25,313.9602966308594,321.6186675605162,312.49218110489363,319.9204641856001,36764315
2017-04-26,310.3775634765625,315.5488782690689,307.34271559452543,314.44232122554564,16763153
2017-04-27,308.8547058105469,312.06487733084526,307.2551199250543,310.49814442003,12571594
2017-04-28,305.72119140625,311.22118220742925,304.80086944174764,308.9094506852277,11848658
